;zipcode;city
544;9490;Pandrup
545;9492;Blokhus
546;9493;Saltum
547;9500;Hobro
548;9510;Arden
549;9520;Skørping
550;9530;Støvring
551;9541;Suldrup
552;9550;Mariager
553;9560;Hadsund
554;9574;Bælum
555;9575;Terndrup
556;9600;Aars
557;9610;Nørager
558;9620;Aalestrup
559;9631;Gedsted
560;9632;Møldrup
561;9640;Farsø
562;9670;Løgstør
563;9681;Ranum
564;9690;Fjerritslev
565;9700;Brønderslev
566;9740;Jerslev J
567;9750;Øster Vrå
568;9760;Vrå
569;9800;Hjørring
570;9830;Tårs
571;9850;Hirtshals
572;9870;Sindal
573;9881;Bindslev
574;9900;Frederikshavn
575;9940;Læsø
576;9970;Strandby
577;9981;Jerup
578;9982;Ålbæk
